rep,host,t,Ec
2,17,13000.0,0.19342978975042
2,17,14000.0,0.15960967297841
2,17,15000.0,0.15172465138963
2,17,16000.0,0.013281202749397
2,17,17000.0,0.15297288691006
2,17,18000.0,0.063995423969729
2,17,19000.0,0.11218334131045
2,17,20000.0,0.20186046669412
2,17,21000.0,0.0
2,17,22000.0,0.093037014455425
2,17,23000.0,0.25477052759418
2,17,24000.0,0.1485216021289
2,17,25000.0,0.0
2,17,26000.0,0.41153957479516
2,17,27000.0,0.28336925722745
2,17,28000.0,0.24888489461718
2,17,29000.0,0.26139022560411
2,17,30000.0,0.20113160281954
2,17,31000.0,0.20207336059607
2,17,32000.0,0.1926120847025
2,17,33000.0,0.26782424529355
2,17,34000.0,0.19241194047481
2,17,35000.0,0.13970088346979
2,17,36000.0,0.23454269776231
2,17,37000.0,0.22056467363906
2,17,38000.0,0.127471015099
2,17,39000.0,0.2708709112873
2,17,40000.0,0.22165077869882
2,17,41000.0,0.32475128457694
2,17,42000.0,0.063933499944432
2,17,43000.0,0.21351307393829
2,17,44000.0,0.26093352998452
2,17,45000.0,0.22187502627991
2,17,46000.0,0.10563402630267
2,17,47000.0,0.16299688417294
2,17,48000.0,0.22282491866663
2,17,49000.0,0.11937737932432
2,17,50000.0,0.20276862510894
2,18,1000.0,1.0
2,18,2000.0,0.0
2,18,3000.0,0.0
2,18,4000.0,0.31265895782669
2,18,5000.0,0.2440796635899
2,18,6000.0,0.23789533494833
2,18,7000.0,0.20798284094672
2,18,8000.0,0.1665916277877
2,18,9000.0,0.27325861955407
2,18,10000.0,0.22297563560205
2,18,11000.0,0.086868521888167
2,18,12000.0,0.28585033825279
2,18,13000.0,0.28461924267342
2,18,14000.0,0.27233614700413
2,18,15000.0,0.19662654622444
2,18,16000.0,0.21650182381696
2,18,17000.0,0.18244303822048
2,18,18000.0,0.23659237490078
2,18,19000.0,0.080467100547859
2,18,20000.0,0.16861290515404
2,18,21000.0,0.21913271598449
2,18,22000.0,0.258178930838
2,18,23000.0,0.10792483445598
2,18,24000.0,0.13628217750505
2,18,25000.0,0.04785059760379
2,18,26000.0,0.14032511108575
2,18,27000.0,0.13638023251493
2,18,28000.0,0.13987913266049
2,18,29000.0,0.098518469078651
2,18,30000.0,0.20621318433097
2,18,31000.0,0.11456915584851
2,18,32000.0,0.029459682962123
2,18,33000.0,0.16116321624822
2,18,34000.0,0.16804826899085
2,18,35000.0,0.08117950797052
2,18,36000.0,0.080424829984199
2,18,37000.0,0.16084115208919
2,18,38000.0,0.021735715603807
2,18,39000.0,0.052398735387618
2,18,40000.0,0.08626024378671
2,18,41000.0,0.065075940165409
2,18,42000.0,0.0
2,18,43000.0,0.075420983877477
2,18,44000.0,0.066999776044266
2,18,45000.0,0.0
2,18,46000.0,0.038683290116998
2,18,47000.0,0.0
2,18,48000.0,0.094686501829993
2,18,49000.0,0.0
2,18,50000.0,0.092101348734182
2,19,1000.0,1.0
2,19,2000.0,0.0
2,19,3000.0,0.013884162419228
