rep,host,t,TotalClusterMsgSent
0,12,17000.0,434.0
0,12,18000.0,470.0
0,12,19000.0,524.0
0,12,20000.0,592.0
0,12,21000.0,663.0
0,12,22000.0,717.0
0,12,23000.0,735.0
0,12,24000.0,771.0
0,12,25000.0,811.0
0,12,26000.0,850.0
0,12,27000.0,888.0
0,12,28000.0,925.0
0,12,29000.0,965.0
0,12,30000.0,1028.0
0,12,31000.0,1071.0
0,12,32000.0,1117.0
0,12,33000.0,1165.0
0,12,34000.0,1209.0
0,12,35000.0,1255.0
0,12,36000.0,1298.0
0,12,37000.0,1338.0
0,12,38000.0,1358.0
0,12,39000.0,1498.0
0,12,40000.0,1557.0
0,12,41000.0,1631.0
0,12,42000.0,1703.0
0,12,43000.0,1809.0
0,12,44000.0,1861.0
0,12,45000.0,1930.0
0,12,46000.0,2032.0
0,12,47000.0,2100.0
0,12,48000.0,2151.0
0,12,49000.0,2202.0
0,12,50000.0,2253.0
0,13,1000.0,10.0
0,13,2000.0,21.0
0,13,3000.0,45.0
0,13,4000.0,57.0
0,13,5000.0,69.0
0,13,6000.0,92.0
0,13,7000.0,103.0
0,13,8000.0,114.0
0,13,9000.0,135.0
0,13,10000.0,145.0
0,13,11000.0,155.0
0,13,12000.0,178.0
0,13,13000.0,190.0
0,13,14000.0,203.0
0,13,15000.0,228.0
0,13,16000.0,240.0
0,13,17000.0,252.0
0,13,18000.0,275.0
0,13,19000.0,286.0
0,13,20000.0,296.0
0,13,21000.0,316.0
0,13,22000.0,336.0
0,13,23000.0,354.0
0,13,24000.0,399.0
0,13,25000.0,417.0
0,13,26000.0,444.0
0,13,27000.0,471.0
0,13,28000.0,488.0
0,13,29000.0,496.0
0,13,30000.0,528.0
0,13,31000.0,536.0
0,13,32000.0,550.0
0,13,33000.0,571.0
0,13,34000.0,585.0
0,13,35000.0,592.0
0,13,36000.0,618.0
0,13,37000.0,630.0
0,13,38000.0,660.0
0,13,39000.0,666.0
0,13,40000.0,678.0
0,13,41000.0,693.0
0,13,42000.0,702.0
0,13,43000.0,710.0
0,13,44000.0,714.0
0,13,45000.0,723.0
0,13,46000.0,743.0
0,13,47000.0,758.0
0,13,48000.0,768.0
0,13,49000.0,785.0
0,13,50000.0,808.0
0,14,1000.0,15.0
0,14,2000.0,25.0
0,14,3000.0,31.0
0,14,4000.0,49.0
0,14,5000.0,55.0
0,14,6000.0,61.0
0,14,7000.0,73.0
0,14,8000.0,79.0
0,14,9000.0,85.0
0,14,10000.0,97.0
0,14,11000.0,103.0
0,14,12000.0,109.0
0,14,13000.0,123.0
0,14,14000.0,130.0
0,14,15000.0,137.0
0,14,16000.0,144.0
0,14,17000.0,151.0
0,14,18000.0,158.0
0,14,19000.0,166.0
0,14,20000.0,174.0
0,14,21000.0,192.0
0,14,22000.0,210.0
0,14,23000.0,219.0
0,14,24000.0,228.0
0,14,25000.0,246.0
0,14,26000.0,255.0
0,14,27000.0,264.0
0,14,28000.0,282.0
0,14,29000.0,291.0
0,14,30000.0,300.0
0,14,31000.0,318.0
0,14,32000.0,337.0
0,14,33000.0,347.0
0,14,34000.0,379.0
0,14,35000.0,405.0
0,14,36000.0,434.0
0,14,37000.0,479.0
0,14,38000.0,542.0
0,14,39000.0,558.0
0,14,40000.0,606.0
0,14,41000.0,670.0
0,14,42000.0,686.0
0,14,43000.0,734.0
0,14,44000.0,750.0
0,14,45000.0,766.0
0,14,46000.0,800.0
0,14,47000.0,817.0
0,14,48000.0,834.0
0,14,49000.0,870.0
0,14,50000.0,888.0
0,15,1000.0,7.0
0,15,2000.0,16.0
0,15,3000.0,61.0
0,15,4000.0,70.0
0,15,5000.0,79.0
0,15,6000.0,97.0
0,15,7000.0,106.0
0,15,8000.0,116.0
0,15,9000.0,136.0
0,15,10000.0,146.0
